Run,Tl,Tv,L,V,alpha,w_MEA,y_H2O,y_CO2,VLE-lwm_coeff_1,VLE-lwm_coeff_2,VLE-lwm_coeff_3,VLE-lwm_coeff_4,surface_tension-surf_tens_CO2_coeff_1,surface_tension-surf_tens_CO2_coeff_2,surface_tension-surf_tens_CO2_coeff_3,surface_tension-surf_tens_CO2_coeff_4,surface_tension-surf_tens_CO2_coeff_5,surface_tension-surf_tens_CO2_coeff_6,surface_tension-surf_tens_F_coeff_a,surface_tension-surf_tens_F_coeff_b,surface_tension-surf_tens_F_coeff_c,surface_tension-surf_tens_F_coeff_d,surface_tension-surf_tens_F_coeff_e,surface_tension-surf_tens_F_coeff_f,surface_tension-surf_tens_F_coeff_g,surface_tension-surf_tens_F_coeff_h,surface_tension-surf_tens_F_coeff_i,surface_tension-surf_tens_F_coeff_j,molar_volume-vol_mol_liq_comp_coeff_a,molar_volume-vol_mol_liq_comp_coeff_b,molar_volume-vol_mol_liq_comp_coeff_c,molar_volume-vol_mol_liq_comp_coeff_d,molar_volume-vol_mol_liq_comp_coeff_e,viscosity-visc_d_coeff_a,viscosity-visc_d_coeff_b,viscosity-visc_d_coeff_c,viscosity-visc_d_coeff_d,viscosity-visc_d_coeff_e,viscosity-visc_d_coeff_f,viscosity-visc_d_coeff_g
1,314.9064996741414,321.6340226592585,0.7109069235520817,0.13451491422555573,0.26133478260273424,0.28982966818987416,0.013095030309491277,0.10277619555408306,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
2,309.89046917197754,324.463096644718,0.5628190613720051,0.10883476494650716,0.2404233960690642,0.3063768931284915,0.01579051345727901,0.13677351746485206,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
3,312.4791990138325,319.3026273676902,0.471808583881974,0.1679019562549652,0.25581241907874724,0.29483113657259385,0.012053921437161896,0.12425642407659611,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
4,316.6025975535856,317.5117891620029,0.5063461950126553,0.12486679267082879,0.2464128622983887,0.3199892853821183,0.012139780197946409,0.12463569710520542,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
5,309.3831153649136,323.1739723708073,0.6933267915906268,0.08212254173257422,0.30894148572924274,0.3073369302568361,0.011202717680112132,0.12384949666924211,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
6,310.1583933478709,323.268556390269,0.6896280950510674,0.11119043012609006,0.2453427445228684,0.31685246888723406,0.013618440934927404,0.1109537789473408,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
7,309.76457039972496,320.3371833325563,0.5405425297442993,0.05177600528956049,0.2481156129583143,0.284157830868398,0.012165696901215408,0.13438133382414275,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
8,314.3353899511203,316.7748730518622,0.8294304626348399,0.061066411501334204,0.3093466234244349,0.2967917032528931,0.014984644415869405,0.13831956487460104,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
9,309.2971224982168,322.13630983604537,0.8686669768693771,0.08800526059857135,0.32737253716246756,0.2921759821176172,0.015057750322260643,0.121409052128321,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
10,311.7975216575855,324.020063760879,0.6178758320450168,0.07814966608515506,0.2375277785046431,0.2814557435553174,0.010710009952591856,0.11578497320368307,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
