L,alpha,y_CO2,G,w_MEA,CO2_Cap,Sim_time,L_G,CO2_Error
173.2664807,0.158196167,0.06972159,78.7607136,0.305531108,0.9433,17.6,2.199909991,0.0242
176.7716931,0.158196167,0.06972159,78.7607136,0.305531108,0.9477,14.7,2.244414569,0.0013
173.2664807,0.154997845,0.06972159,78.7607136,0.305531108,0.9492,10.9,2.199909991,0.017
173.2664807,0.158196167,0.071648635,78.7607136,0.305531108,0.9235,17.6,2.199909991,0.026
173.2664807,0.158196167,0.06972159,88.65899179,0.305531108,0.8444,11.5,1.954302403,0.0144
173.2664807,0.158196167,0.06972159,78.7607136,0.31013331,0.9536,11.2,2.199909991,0.0041
173.2664807,0.154997845,0.071648635,88.65899179,0.31013331,0.8411,13.4,1.954302403,0.0006
176.7716931,0.158196167,0.071648635,88.65899179,0.31013331,0.8397,11.8,1.993838296,0.0021
176.7716931,0.154997845,0.06972159,88.65899179,0.31013331,0.8652,15.6,1.993838296,0.0007
176.7716931,0.154997845,0.071648635,78.7607136,0.31013331,0.9445,13.2,2.244414569,0.0083
176.7716931,0.154997845,0.071648635,88.65899179,0.305531108,0.8355,15.1,1.993838296,0.0015
176.7716931,0.154997845,0.071648635,88.65899179,0.31013331,0.8456,11.4,1.993838296,0.0017
196.6532469,0.136683584,0.079472334,91.93371534,0.297134382,0.7677,9.2,2.139076466,0.003
200.0172639,0.136683584,0.079472334,91.93371534,0.297134382,0.77,14.3,2.175668232,0.004
196.6532469,0.133943514,0.079472334,91.93371534,0.297134382,0.7724,9.8,2.139076466,0.0104
196.6532469,0.136683584,0.060808509,91.93371534,0.297134382,0.9582,12.4,2.139076466,0.0073
196.6532469,0.136683584,0.079472334,82.42594481,0.297134382,0.8536,13.3,2.385817322,0.0118
196.6532469,0.136683584,0.079472334,91.93371534,0.280051801,0.7329,12.4,2.139076466,0.0167
196.6532469,0.133943514,0.060808509,82.42594481,0.280051801,0.9935,215,2.385817322,0.0214
200.0172639,0.136683584,0.060808509,82.42594481,0.280051801,0.9926,95.8,2.42662992,0.0142
200.0172639,0.133943514,0.079472334,82.42594481,0.280051801,0.8227,11.9,2.42662992,0.0052
200.0172639,0.133943514,0.060808509,91.93371534,0.280051801,0.9275,10.6,2.175668232,0.0044
200.0172639,0.133943514,0.060808509,82.42594481,0.297134382,0.999,422.3,2.42662992,0.0189
200.0172639,0.133943514,0.060808509,82.42594481,0.280051801,0.994,142.6,2.42662992,0.0121
194.032104,0.166389139,0.06271181,84.51877296,0.280700691,0.9099,15.2,2.295727886,0.0054
187.5524569,0.166389139,0.06271181,84.51877296,0.280700691,0.9033,10.7,2.219062704,0.0005
194.032104,0.160484767,0.06271181,84.51877296,0.280700691,0.9215,15.5,2.295727886,0.0121
194.032104,0.166389139,0.068228098,84.51877296,0.280700691,0.8487,14.9,2.295727886,0.0025
194.032104,0.166389139,0.06271181,78.17165762,0.280700691,0.9714,10.7,2.482128561,0.0126
194.032104,0.166389139,0.06271181,84.51877296,0.290263152,0.9333,10,2.295727886,0.0003
194.032104,0.160484767,0.068228098,78.17165762,0.290263152,0.9478,9.5,2.482128561,0.0032
187.5524569,0.166389139,0.068228098,78.17165762,0.290263152,0.9306,13.8,2.39923858,0.0115
187.5524569,0.160484767,0.06271181,78.17165762,0.290263152,0.9909,17.4,2.39923858,0.0136
187.5524569,0.160484767,0.068228098,84.51877296,0.290263152,0.877,8.3,2.219062704,0.0023
187.5524569,0.160484767,0.068228098,78.17165762,0.280700691,0.9183,9.9,2.39923858,0.0032
187.5524569,0.160484767,0.068228098,78.17165762,0.290263152,0.942,10.1,2.39923858,0.0175
176.2092984,0.148486968,0.073117459,86.34411216,0.311671641,0.867,13.6,2.04077955,0.0008
174.2376828,0.148486968,0.073117459,86.34411216,0.311671641,0.8644,13.4,2.017945155,0.0005
176.2092984,0.14091508,0.073117459,86.34411216,0.311671641,0.8809,9.4,2.04077955,0.0007
176.2092984,0.148486968,0.079224464,86.34411216,0.311671641,0.8091,10.5,2.04077955,0.0032
176.2092984,0.148486968,0.073117459,91.97280645,0.311671641,0.8158,13.8,1.915884762,0.0101
176.2092984,0.148486968,0.073117459,86.34411216,0.300176737,0.8413,15.3,2.04077955,0.0162
176.2092984,0.14091508,0.079224464,91.97280645,0.300176737,0.7502,8.5,1.915884762,0.0274
174.2376828,0.148486968,0.079224464,91.97280645,0.300176737,0.7355,13.9,1.894447821,0.0218
174.2376828,0.14091508,0.073117459,91.97280645,0.300176737,0.8017,16.1,1.894447821,0.0036
174.2376828,0.14091508,0.079224464,86.34411216,0.300176737,0.7955,11.5,2.017945155,0.0129
174.2376828,0.14091508,0.079224464,91.97280645,0.311671641,0.7708,14.7,1.894447821,0.0033
174.2376828,0.14091508,0.079224464,91.97280645,0.300176737,0.7477,9.4,1.894447821,0.0038
181.9392633,0.164683619,0.077330321,88.98150325,0.318829799,0.7943,8.5,2.04468633,0.007
182.0789695,0.164683619,0.077330321,88.98150325,0.318829799,0.7944,8.3,2.046256388,0.0037
181.9392633,0.167058208,0.077330321,88.98150325,0.318829799,0.79,11,2.04468633,0.0005
181.9392633,0.164683619,0.066578124,88.98150325,0.318829799,0.9025,10,2.04468633,0.0008
181.9392633,0.164683619,0.077330321,75.59249535,0.318829799,0.9284,9.4,2.406842935,0.0041
181.9392633,0.164683619,0.077330321,88.98150325,0.285031836,0.7254,12.5,2.04468633,0.0097
181.9392633,0.167058208,0.066578124,75.59249535,0.285031836,0.9547,10.2,2.406842935,0.0178
182.0789695,0.164683619,0.066578124,75.59249535,0.285031836,0.9593,11.3,2.408691083,0.0243
