Stages,Tl,Tv,N_CO2,N_H2O,DF_CO2,DF_H2O,Pv_H2O,Pl_H2O,Psat_H2O,Cl_CO2_true,Cl_MEA_true,Cl_H2O_true,Cl_MEAH_true,Cl_MEACOO_true,Cl_HCO3_true,Ef,muv,kv_CO2,kv_H2O,x_H2O_true
6,315.39,333.7401078,0.0015,0.22,55.13673619,5547.375074,19282.8853,7358.294658,8342.868838,0.001913291,3728.348422,38774.62104,729.9374948,718.5893181,11.34817672,40,1.79677E-05,2.82991E-05,3.74122E-05,0.881986137
5.88,327.7874072,341.2596141,0.001553227,0.206595557,55.49701636,4358.739185,26207.37143,13735.51022,15528.84841,0.004952329,3627.21901,38801.03169,719.3617091,702.602605,16.75910409,52.24485058,1.77514E-05,3.05254E-05,3.99521E-05,0.8845157
5.76,337.7550305,345.6603742,0.001689555,0.173676786,54.60692612,2606.128247,31255.14538,21848.63224,24644.72867,0.010462039,3541.231821,38803.06474,712.3056924,690.4508083,21.85488407,61.88422986,1.75448E-05,3.23588E-05,4.20369E-05,0.886543834
5.64,343.9017518,347.8844792,0.001764823,0.109417632,54.57268087,1294.454195,34123.1521,28649.01714,32270.58251,0.016637671,3481.994235,38795.62897,711.1014876,685.7239668,25.37752078,68.03431061,1.74146E-05,3.35064E-05,4.33389E-05,0.887775023
5.52,347.0889319,348.8987292,0.001827766,0.056076579,55.8733162,553.4041439,35500.58894,32828.6979,36953.13256,0.021447865,3443.880623,38789.63785,714.7177459,687.230969,27.48677684,71.11827442,1.7349E-05,3.41026E-05,4.40135E-05,0.888387415
5.4,348.5759512,349.3123798,0.001905423,0.024357251,58.16452194,183.3451681,36069.31053,34947.18479,39326.47294,0.024586691,3417.65966,38787.01235,721.3894438,692.6288184,28.76062545,72.39808395,1.73209E-05,3.43756E-05,4.43209E-05,0.888642743
5.28,349.2116133,349.4418772,0.001999823,0.008127593,61.07026081,6.425612755,36240.63539,35885.96536,40379.49455,0.02661443,3396.946022,38786.71757,729.8898736,700.2658001,29.62407348,72.76232735,1.73117E-05,3.44848E-05,4.44423E-05,0.888717547
5.16,349.4449312,349.4379466,0.002106575,0.000285648,64.35893575,-78.71875537,36222.43913,36234.20977,40771.91254,0.028069075,3378.317903,38787.70319,739.568653,709.259752,30.30890098,72.68099285,1.73115E-05,3.45156E-05,4.44745E-05,0.888705178
5.04,349.4909969,349.3696111,0.002222064,-0.003502045,67.90981481,-121.9774986,36112.28607,36301.15789,40849.76888,0.029275979,3360.113184,38789.36212,750.1228617,719.1938036,30.9290581,72.37429678,1.73156E-05,3.45093E-05,4.44644E-05,0.888650264
4.92,349.4485528,349.2678643,0.002344239,-0.005425326,71.66335656,-146.5237651,35954.45713,36234.26357,40778.02901,0.030404832,3341.547608,38791.39588,761.4255114,729.8867046,31.53880687,71.94266435,1.7322E-05,3.44847E-05,4.44335E-05,0.888573196
4.8,349.3620536,349.1464048,0.002472033,-0.006512518,75.5901895,-162.8763285,35768.6524,36100.9809,40632.15452,0.031540506,3322.246022,38793.66739,773.4327745,741.268612,32.16416252,71.43184345,1.73295E-05,3.44504E-05,4.43914E-05,0.888483058
4.68,349.2512608,349.0111253,0.002604868,-0.007232394,79.6746425,-175.7713184,35563.43241,35931.52873,40445.95265,0.032726254,3302.018952,38796.11626,786.1389769,753.3208452,32.81813174,70.86154887,1.73379E-05,3.44103E-05,4.43424E-05,0.888383791
4.56,349.1248014,348.8643929,0.002742387,-0.007796289,83.90696586,-187.3384343,35342.33608,35739.20373,40234.29956,0.033985808,3280.760671,38798.71716,799.5556338,766.0478337,33.5078001,70.24139162,1.73469E-05,3.43658E-05,4.42884E-05,0.88827702
4.44,348.9862843,348.7069716,0.002884302,-0.008299147,88.2793977,-198.5366137,35106.63721,35529.67452,40003.53685,0.035333996,3258.403637,38801.46052,813.7017464,779.4641713,34.23757508,69.57521116,1.73565E-05,3.43178E-05,4.42303E-05,0.888163331
4.32,348.8370456,348.5388844,0.003030334,-0.008783597,92.78434111,-209.7983996,34856.58308,35305.17382,39756.16085,0.036781713,3234.898313,38804.34366,828.5992952,793.5886328,35.01066244,68.86480922,1.73666E-05,3.42664E-05,4.41682E-05,0.888042836
4.2,348.67738,348.3598014,0.003180181,-0.009268736,97.41348925,-221.3185539,34591.95243,35066.38148,39492.92913,0.038338228,3210.204408,38807.36685,844.2710533,808.4413188,35.8297345,68.11098636,1.73772E-05,3.42117E-05,4.41022E-05,0.887915438
