Runs,Tl_0_guess,message
1,323.75400801,Collides at 2.28
2,323.7540080104,Collides at 2.28
3,323.7540080108,Collides at 2.28
4,323.7540080112,Collides at 2.28
5,323.7540080116,Collides at 2.28
6,323.754008012,Collides at 2.28
7,323.7540080124,Collides at 2.28
8,323.7540080128,Collides at 2.28
9,323.7540080132,Collides at 2.28
10,323.7540080136,Collides at 2.28
11,323.754008014,Collides at 2.28
12,323.75400801440003,Collides at 2.28
13,323.7540080148,Collides at 2.34
14,323.7540080152,Collides at 2.34
15,323.7540080156,Collides at 2.34
16,323.754008016,Collides at 2.34
17,323.7540080164,Collides at 2.34
18,323.7540080168,Collides at 2.34
19,323.7540080172,Collides at 2.34
20,323.75400801760003,Collides at 2.34
21,323.754008018,Collides at 2.34
22,323.7540080184,Collides at 2.40
23,323.7540080188,Collides at 2.40
24,323.7540080192,Collides at 2.40
25,323.7540080196,Doesnt Collide
26,323.75400802,Doesnt Collide
27,323.7540080204,Doesnt Collide
28,323.7540080208,Doesnt Collide
29,323.7540080212,Doesnt Collide
30,323.7540080216,Doesnt Collide
31,323.754008022,Doesnt Collide
32,323.7540080224,Collides at 2.58
33,323.7540080228,Doesnt Collide
34,323.7540080232,Doesnt Collide
35,323.7540080236,Doesnt Collide
36,323.754008024,Doesnt Collide
37,323.7540080244,Doesnt Collide
38,323.7540080248,Doesnt Collide
39,323.7540080252,Doesnt Collide
40,323.7540080256,Doesnt Collide
41,323.754008026,Doesnt Collide
42,323.7540080264,Doesnt Collide
43,323.7540080268,Doesnt Collide
44,323.7540080272,Doesnt Collide
45,323.7540080276,Doesnt Collide
46,323.754008028,Doesnt Collide
47,323.7540080284,Doesnt Collide
48,323.7540080288,Doesnt Collide
49,323.7540080292,Doesnt Collide
50,323.7540080296,Doesnt Collide
51,323.75400803,Doesnt Collide
52,323.7540080304,Collides at 2.46
53,323.7540080308,Doesnt Collide
54,323.7540080312,Doesnt Collide
55,323.7540080316,Doesnt Collide
56,323.754008032,Doesnt Collide
57,323.7540080324,Doesnt Collide
58,323.7540080328,Doesnt Collide
59,323.75400803319997,Doesnt Collide
60,323.7540080336,Doesnt Collide
61,323.754008034,Doesnt Collide
62,323.7540080344,Doesnt Collide
63,323.7540080348,Doesnt Collide
64,323.7540080352,Doesnt Collide
65,323.7540080356,Doesnt Collide
66,323.754008036,Doesnt Collide
67,323.75400803639997,Doesnt Collide
68,323.7540080368,Collides at 2.52
69,323.7540080372,Collides at 2.46
70,323.7540080376,Collides at 2.52
71,323.754008038,Doesnt Collide
72,323.7540080384,Doesnt Collide
73,323.7540080388,Doesnt Collide
74,323.7540080392,Doesnt Collide
75,323.75400803959997,Doesnt Collide
76,323.75400804,Doesnt Collide
77,323.7540080404,Doesnt Collide
78,323.7540080408,Doesnt Collide
79,323.7540080412,Doesnt Collide
80,323.7540080416,Doesnt Collide
81,323.754008042,Doesnt Collide
82,323.75400804239996,Doesnt Collide
83,323.75400804279997,Doesnt Collide
84,323.7540080432,Doesnt Collide
85,323.7540080436,Doesnt Collide
86,323.754008044,Doesnt Collide
87,323.7540080444,Doesnt Collide
88,323.7540080448,Doesnt Collide
89,323.7540080452,Doesnt Collide
90,323.75400804559996,Doesnt Collide
91,323.75400804599997,Doesnt Collide
92,323.7540080464,Doesnt Collide
93,323.7540080468,Doesnt Collide
94,323.7540080472,Doesnt Collide
95,323.7540080476,Doesnt Collide
96,323.754008048,Doesnt Collide
97,323.7540080484,Doesnt Collide
98,323.75400804879996,Doesnt Collide
99,323.75400804919997,Doesnt Collide
100,323.7540080496,Doesnt Collide
101,323.75400805,Doesnt Collide
