Runs,L,G,alpha,w_MEA,y_CO2,CO2 CAP%,Results
1,1.650605944,0.582228077,0.075152738,0.278847677,0.085648569,94.51,"Solved? Yes, with 07 obj function evaluations"
3,2.546779024,0.701641031,0.095135482,0.289018684,0.086312252,85.46,"Solved? Yes, with 05 obj function evaluations"
5,2.428523609,0.607550417,0.093157503,0.286587117,0.107874057,89.65,"Solved? Yes, with 06 obj function evaluations"
6,2.198972972,0.420064042,0.199020087,0.277673625,0.098616147,95.91,"Solved? Yes, with 07 obj function evaluations"
7,2.488296066,0.481787447,0.137604526,0.290237445,0.111355248,94.25,"Solved? Yes, with 08 obj function evaluations"
8,2.762301883,0.539649207,0.209144205,0.297944181,0.107531374,91.8,"Solved? Yes, with 07 obj function evaluations"
9,2.664303128,0.437920523,0.123440278,0.307520225,0.11039273,96.15,"Solved? Yes, with 10 obj function evaluations"
11,2.26043077,0.735698406,0.183904142,0.297654118,0.097591207,88.05,"Solved? Yes, with 08 obj function evaluations"
12,2.692761217,0.523026023,0.221985532,0.315673937,0.095391383,94.87,"Solved? Yes, with 07 obj function evaluations"
13,1.549807143,0.569529254,0.175178646,0.30111039,0.096441024,97.13,"Solved? Yes, with 16 obj function evaluations"
14,1.192840925,0.750980366,0.129770794,0.282286298,0.109525521,80.12,"Solved? Yes, with 05 obj function evaluations"
16,1.327855256,0.591705325,0.177445351,0.296767693,0.110987412,95.02,"Solved? Yes, with 09 obj function evaluations"
17,1.466263749,0.450642099,0.142724275,0.314377111,0.099420869,99.35,"Solved? Yes, with 18 obj function evaluations"
18,2.004168248,0.500055169,0.076058141,0.31319393,0.093748823,96.93,"Solved? Yes, with 10 obj function evaluations"
19,2.398764142,0.606079165,0.197440108,0.292754356,0.090481941,90.74,"Solved? Yes, with 07 obj function evaluations"
20,2.767695587,0.664719791,0.101361007,0.305034807,0.092869906,87.78,"Solved? Yes, with 05 obj function evaluations"
21,2.315208089,0.726528943,0.179851642,0.29931871,0.096952085,88.38,"Solved? Yes, with 07 obj function evaluations"
22,1.364188962,0.396109695,0.257500742,0.295973168,0.110174915,99.05,"Solved? Yes, with 18 obj function evaluations"
25,1.309593504,0.765720872,0.16785055,0.294098493,0.098329887,85.88,"Solved? Yes, with 06 obj function evaluations"
26,1.67768234,0.447036874,0.157668317,0.295829042,0.087911952,98.39,"Solved? Yes, with 13 obj function evaluations"
27,0.992181583,0.520337078,0.165136587,0.31086758,0.110610554,98.01,"Solved? Yes, with 06 obj function evaluations"
28,2.228147155,0.493475248,0.157089004,0.304221051,0.104111139,96.3,"Solved? Yes, with 09 obj function evaluations"
29,2.201530707,0.410749819,0.214093097,0.282963972,0.100813769,96.5,"Solved? Yes, with 09 obj function evaluations"
30,2.265220715,0.499005574,0.074401629,0.293006674,0.094597572,94.43,"Solved? Yes, with 06 obj function evaluations"
32,2.461415456,0.68405952,0.258120988,0.307338851,0.09268246,88.79,"Solved? Yes, with 08 obj function evaluations"
33,2.533748783,0.494458355,0.256189826,0.302970842,0.095756494,94.4,"Solved? Yes, with 07 obj function evaluations"
35,2.359695085,0.585986692,0.243952779,0.303288183,0.105785697,92.3,"Solved? Yes, with 09 obj function evaluations"
36,2.109967238,0.76342925,0.114985298,0.310544843,0.102826831,90.49,"Solved? Yes, with 08 obj function evaluations"
37,2.185177286,0.460918982,0.263716236,0.285583771,0.097289951,94.4,"Solved? Yes, with 08 obj function evaluations"
39,1.293043263,0.711128387,0.147010417,0.286013037,0.101009841,89.27,"Solved? Yes, with 07 obj function evaluations"
42,1.235116679,0.470362213,0.260556809,0.306703691,0.097999942,98.31,"Solved? Yes, with 08 obj function evaluations"
43,1.915578313,0.705352409,0.173360034,0.289470283,0.100881541,89.8,"Solved? Yes, with 10 obj function evaluations"
44,2.167349162,0.395672674,0.080136633,0.306186517,0.108416419,98.08,"Solved? Yes, with 19 obj function evaluations"
