Case #,Tl,Tv,L,V,alpha,w_MEA,y_H2O,y_CO2,H,VLE-lwm_coeff_1,VLE-lwm_coeff_2,VLE-lwm_coeff_3,VLE-lwm_coeff_4,surface_tension-surf_tens_CO2_coeff_1,surface_tension-surf_tens_CO2_coeff_2,surface_tension-surf_tens_CO2_coeff_3,surface_tension-surf_tens_CO2_coeff_4,surface_tension-surf_tens_CO2_coeff_5,surface_tension-surf_tens_CO2_coeff_6,surface_tension-surf_tens_F_coeff_a,surface_tension-surf_tens_F_coeff_b,surface_tension-surf_tens_F_coeff_c,surface_tension-surf_tens_F_coeff_d,surface_tension-surf_tens_F_coeff_e,surface_tension-surf_tens_F_coeff_f,surface_tension-surf_tens_F_coeff_g,surface_tension-surf_tens_F_coeff_h,surface_tension-surf_tens_F_coeff_i,surface_tension-surf_tens_F_coeff_j,molar_volume-vol_mol_liq_comp_coeff_a,molar_volume-vol_mol_liq_comp_coeff_b,molar_volume-vol_mol_liq_comp_coeff_c,molar_volume-vol_mol_liq_comp_coeff_d,molar_volume-vol_mol_liq_comp_coeff_e,viscosity-visc_d_coeff_a,viscosity-visc_d_coeff_b,viscosity-visc_d_coeff_c,viscosity-visc_d_coeff_d,viscosity-visc_d_coeff_e,viscosity-visc_d_coeff_f,viscosity-visc_d_coeff_g
1,314.63,318.31,0.6447,0.0719,0.27,0.32,0.012,0.10,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
2,311.00,322.46,0.6150,0.1474,0.31,0.30,0.012,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
3,313.51,321.18,0.7357,0.0580,0.32,0.29,0.012,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
4,314.95,322.69,0.7473,0.0616,0.30,0.32,0.011,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
5,314.39,321.69,0.6042,0.1408,0.26,0.30,0.016,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
6,313.02,317.93,0.6635,0.0904,0.28,0.31,0.015,0.10,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
7,312.67,318.51,0.7232,0.0667,0.25,0.30,0.012,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
8,315.14,319.18,0.7684,0.0597,0.28,0.29,0.015,0.14,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
9,311.94,322.19,0.5998,0.1156,0.31,0.29,0.012,0.10,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
10,314.06,320.04,0.6103,0.1457,0.26,0.29,0.013,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
11,311.20,319.00,0.5890,0.1365,0.25,0.30,0.010,0.14,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
12,312.89,321.56,0.6197,0.0986,0.24,0.28,0.015,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
13,316.11,322.40,0.7006,0.0684,0.31,0.29,0.012,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
14,316.98,320.35,0.6784,0.0770,0.26,0.29,0.015,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
15,313.85,322.13,0.6078,0.1089,0.26,0.30,0.010,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
16,314.16,318.02,0.6734,0.0960,0.30,0.28,0.010,0.14,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
17,314.30,317.06,0.6689,0.1095,0.27,0.29,0.016,0.12,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
18,313.98,318.82,0.6234,0.1053,0.30,0.30,0.015,0.13,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
19,313.72,318.35,0.6501,0.0699,0.28,0.31,0.014,0.11,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
20,315.51,319.86,0.6573,0.0800,0.31,0.28,0.012,0.10,6,1.70981,0.03972,-4.30E-04,-2.20377,-5.987,3.77E+00,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.50,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207,-563.3701,-0.0838,2.8817,33.651,1817,0.00847,0.0103,-2.389
